22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.

Case 2 Inputs
Month,9
Day,21
Hour,12
Time Step per Hour,4
Longitude,-71
Latitude,42
Time Zone Offset,-5
Outdoor Temperature (°F),90.9
Indoor Temperature (°F),76
Relative Humidity (%),60
Air Speed (fpm),10
Clothing Level (clo),0.5
Metabolic Rate (met),1.2
Occupant Posture,seated
Average Shortwave Absorptivity,0.67
Window Orientation,180
Ceiling Height (ft),12
Grid Height (ft),3
Room Length (ft),40
Room Depth (ft),30
Wall R-Value (ft²hr°F/Btu),15
Window Height from Sill (ft),7.0
Sill Height (ft),2.0
Window Width (ft),14
Window-to-Wall Ratio (%),39
Window Seperation (ft),12
Window U-Value (Btu/ft²hr°F),0.35
Solar Heat Gain Coefficient (shgc),0.35
Horizontal Shade Depth (ft),1
Number of Shades (Horizontal),0
Spacing (Horizontal) (ft),3
Distance from Facade (Horizontal) (ft),0
Height Above Window (ft),0
Angle,90
Vertical Shade Depth (ft),3
Number of Shades (Vertical),0
Spacing (Vertical) (ft),3
Left/Right,L
Left/Right Shift,0
Distance from Facade (Vertical) (ft),0
Full Height Louvers,true
Height Above Window (ft),3
Height Relative to Window (ft),5
Solar Azimuth + Window Direction (degrees), 6.064238213407606

Case 2 Result
% > max direct sun time, 32%, Pass
Solar Cooling Load (Btu/hr), 9851
Window Area Total (sf), 98
Window Area With Direct Sun Total (sf), 98
Direct Normal Irradiance (Idir), 906

Case 2 Hours of Sun Floor Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,0.1123,0.1288,0.1425,0.1644,0.1918,0.2274,0.3315,0.4712,0.6137,0.8192,1.3342,2.5425,5.0137,6.9863,8.2055,8.6356,8.9397,9.0219,9.0767,9.1014,9.0438,8.937,8.8247,8.6384,8.1425,6.9479,4.4849,2.5178,1.3096,0.8849,0.6,0.5014,0.4164,0.3589,0.3123,0.274,0.2411,0.2164,0.1918,0.1726
2,0.2603,0.3342,0.3973,0.4575,0.526,0.6082,0.7205,0.8795,1.2192,1.6877,2.4055,3.4548,4.8466,5.8411,6.726,7.4027,7.8082,7.989,8.1096,8.189,8.2192,8.0986,7.8027,7.3644,6.6712,5.6384,4.2548,3.2658,2.3178,1.589,1.1288,0.8959,0.7151,0.5589,0.4192,0.3808,0.3397,0.3041,0.2767,0.2493
3,0.4712,0.5233,0.5781,0.6521,0.7507,0.8986,1.1288,1.3973,1.7562,2.126,2.6521,3.2904,4.1123,4.5726,5.1726,5.6959,6.1616,6.5096,6.663,6.663,6.5726,6.4137,6.0904,5.8,5.3096,4.6603,3.8301,3.3507,2.7315,2.1699,1.6658,1.2548,1.0192,0.8685,0.7315,0.6247,0.526,0.411,0.3425,0.3151
4,0.6,0.6438,0.6849,0.7781,0.8959,1.0603,1.3068,1.5808,1.8932,2.1507,2.6384,3.0055,3.5699,3.8356,4.2822,4.4877,4.8959,5.1342,5.2247,5.2219,5.1096,4.9233,4.7041,4.5151,4.0795,3.7534,3.2274,3.0219,2.5452,2.2877,1.811,1.4658,1.2521,1.0795,0.9288,0.8274,0.7205,0.6301,0.5562,0.4849
5,0.5973,0.6411,0.6986,0.7781,0.9014,1.1479,1.2986,1.5562,1.7671,2.0384,2.2959,2.5068,2.9644,3.126,3.3671,3.6219,3.8795,4.0438,4.126,4.0658,4.0329,3.9123,3.789,3.5781,3.3753,3.2027,2.7616,2.589,2.3425,2.0603,1.7671,1.537,1.3315,1.1342,1.0082,0.8548,0.7479,0.6685,0.589,0.5151
6,0.6329,0.6986,0.7781,0.8986,1.0411,1.1397,1.3562,1.537,1.6712,1.8795,2.0795,2.2164,2.5479,2.6438,2.8548,2.9918,3.0822,3.2438,3.2082,3.2493,3.2137,3.1315,3.063,2.9616,2.8055,2.674,2.3452,2.2466,2.011,1.8274,1.663,1.389,1.2767,1.1397,0.9452,0.8247,0.7452,0.6055,0.5233,0.4685
7,0.6438,0.737,0.9233,0.9589,1.0164,1.1836,1.3479,1.4438,1.6082,1.7041,1.9425,1.9918,2.2055,2.2082,2.3589,2.3315,2.4219,2.4822,2.6438,2.5644,2.4466,2.5644,2.4795,2.4438,2.2548,2.2301,2.011,1.9863,1.7863,1.7507,1.4959,1.411,1.2,1.1123,1.0603,0.8329,0.7205,0.6356,0.5616,0.4986
8,0.6795,0.8164,0.8548,0.9096,1.0411,1.1726,1.2493,1.4027,1.4767,1.5534,1.7014,1.7452,1.8986,1.8055,1.9233,1.874,2.0164,2.0603,1.9863,2.0493,2.0384,1.926,2.0301,2.0301,1.9096,1.8521,1.7068,1.7726,1.5863,1.5233,1.3534,1.274,1.2329,1.0466,0.9863,0.9397,0.7452,0.6466,0.589,0.5616
9,0.7288,0.7644,0.8055,0.9096,1.0384,1.0767,1.1863,1.3178,1.3507,1.4192,1.4849,1.5068,1.5945,1.4384,1.5452,1.6,1.6247,1.6521,1.5808,1.6521,1.6575,1.5808,1.5753,1.6356,1.6137,1.5863,1.4493,1.4849,1.389,1.3288,1.2822,1.1644,1.1178,1.0192,0.9233,0.8712,0.8384,0.6904,0.6082,0.5534
10,0.6795,0.726,0.8137,0.9315,0.9671,1.0164,1.1973,1.1562,1.2055,1.337,1.263,1.2548,1.2493,1.2055,1.2877,1.3315,1.2274,1.2685,1.2904,1.2795,1.2137,1.3178,1.2959,1.1534,1.3068,1.3233,1.2411,1.2822,1.1863,1.1205,1.1918,1.063,1.0247,0.9973,0.8877,0.8137,0.7753,0.7671,0.6411,0.5644
11,0.6685,0.7452,0.8411,0.8712,0.8986,0.9863,1.0548,1.0329,1.0658,1.126,1.011,1,1.063,1.011,1.0356,1.0438,0.9397,1,1.0329,0.989,0.8959,1.0329,1.0356,0.9562,0.9918,1.0438,1.0411,1.0959,1.0521,0.9836,1.0055,0.9562,0.9288,0.9014,0.926,0.7945,0.7342,0.7123,0.7068,0.6082
12,0.6904,0.7671,0.789,0.8137,0.8466,0.9699,0.9178,0.8986,0.9151,0.8548,0.8301,0.8493,0.8685,0.8082,0.7589,0.7616,0.7288,0.6822,0.7616,0.674,0.7068,0.6685,0.7562,0.7562,0.7918,0.7644,0.7973,0.8986,0.9123,0.8548,0.8822,0.9123,0.8027,0.8055,0.8192,0.8575,0.7123,0.6767,0.6658,0.6493
13,0.7123,0.7096,0.7315,0.7562,0.8466,0.8301,0.7726,0.726,0.7479,0.726,0.6959,0.6822,0.6438,0.5589,0.463,0.5315,0.4877,0.4384,0.3945,0.4301,0.4767,0.4301,0.411,0.5178,0.5562,0.5589,0.5699,0.6411,0.7479,0.7178,0.7562,0.7945,0.7479,0.7041,0.6822,0.7534,0.7123,0.6384,0.6247,0.611
14,0.6493,0.6658,0.6822,0.7096,0.7562,0.6904,0.5671,0.5973,0.6219,0.5973,0.5589,0.5041,0.4247,0.3288,0.3288,0.2904,0.2466,0.189,0.0932,0.189,0.2466,0.2,0.1562,0.2712,0.337,0.3726,0.4027,0.4301,0.4521,0.5808,0.6356,0.6767,0.7151,0.6466,0.6192,0.6384,0.6877,0.6137,0.5781,0.5671
15,0.6,0.611,0.6274,0.6795,0.6055,0.5151,0.4986,0.4795,0.4575,0.4301,0.3781,0.3014,0.2055,0.2055,0.189,0.1507,0.1041,0,0,0.0411,0.0986,0.1096,0.1096,0.1096,0.2384,0.2795,0.3123,0.3397,0.3671,0.3753,0.4932,0.5479,0.589,0.5836,0.5534,0.5699,0.5945,0.611,0.5315,0.5233
16,0.5397,0.5479,0.5589,0.4795,0.463,0.4466,0.4274,0.4055,0.3836,0.3397,0.2685,0.1726,0.1726,0.1726,0.1452,0.1041,0.0411,0,0,0,0.0384,0.0411,0.0411,0.0411,0.0411,0.1644,0.2027,0.2329,0.2575,0.2822,0.2822,0.3836,0.4411,0.4822,0.4795,0.5041,0.5315,0.5534,0.5671,0.4548
17,0.4795,0.4658,0.4301,0.4137,0.3973,0.3781,0.3589,0.337,0.3041,0.2356,0.1397,0.1397,0.1397,0.137,0.0986,0.0521,0,0,0,0,0,0,0,0,0,0.0685,0.1205,0.1534,0.1808,0.2055,0.2164,0.2164,0.3041,0.3644,0.4055,0.4411,0.4712,0.4932,0.5068,0.4521
18,0.3671,0.3781,0.3644,0.3479,0.3288,0.3096,0.2904,0.263,0.2027,0.1068,0.1068,0.1068,0.1068,0.0932,0.0548,0,0,0,0,0,0,0,0,0,0,0,0.0685,0.1123,0.1425,0.1699,0.1918,0.1918,0.1918,0.263,0.3288,0.3726,0.4055,0.4356,0.4521,0.4658
19,0.3178,0.3041,0.2877,0.2712,0.2521,0.2329,0.2082,0.1562,0.0603,0.0603,0.0603,0.0603,0.0603,0.0438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685,0.1041,0.1315,0.1562,0.1671,0.1671,0.1671,0.2219,0.2932,0.337,0.3699,0.4,0.4137
20,0.2274,0.2137,0.1973,0.1781,0.1589,0.1342,0.0959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658,0.0986,0.1233,0.1425,0.1425,0.1425,0.1425,0.1753,0.2603,0.3014,0.337,0.3589
21,0.2,0.1863,0.1671,0.1479,0.126,0.0932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0575,0.0877,0.1123,0.1178,0.1178,0.1178,0.1178,0.1178,0.2247,0.2685,0.3014
22,0.1726,0.1562,0.137,0.1151,0.0849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082,0.0466,0.074,0.0849,0.0849,0.0849,0.0849,0.0849,0.0849,0.1808,0.2247
23,0.1452,0.1288,0.1068,0.0767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.126
24,0.1205,0.0986,0.0712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0904,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Case 2 Hours of Sun Floor Grid ASCII-art (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1, , , , , , , , ,.,.,.,=,▪,◾,◼,▰,▰,▰,▰,▰,▰,▰,▰,▰,◼,◾,•,=,.,.,.,., , , , , , , , 
2, , , , ,.,.,.,.,.,-,-,=,▪,▬,◾,◾,◼,◼,◼,◼,◼,◼,◼,◾,◾,▬,•,=,-,-,.,.,.,., , , , , , 
3, ,.,.,.,.,.,.,.,-,-,=,=,•,▪,▪,▬,▬,◾,◾,◾,◾,▬,▬,▬,▪,▪,•,=,=,-,-,.,.,.,.,.,., , , 
4,.,.,.,.,.,.,.,-,-,-,=,=,•,•,•,•,▪,▪,▪,▪,▪,▪,▪,▪,•,•,=,=,=,-,-,.,.,.,.,.,.,.,., 
5,.,.,.,.,.,.,.,-,-,-,-,=,=,=,=,•,•,•,•,•,•,•,•,•,=,=,=,=,-,-,-,-,.,.,.,.,.,.,.,.
6,.,.,.,.,.,.,.,-,-,-,-,-,=,=,=,=,=,=,=,=,=,=,=,=,=,=,-,-,-,-,-,.,.,.,.,.,.,.,., 
7,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,=,=,-,=,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., 
8,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.
9,.,.,.,.,.,.,.,.,.,.,.,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.
15,.,.,.,.,.,., , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.
16,.,.,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,., 
17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., 
18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 

Case 2 MRT Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,76.1,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.4,76.6,76.8,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.8,76.6,76.4,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2
2,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.4,76.5,76.6,76.7,76.7,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.7,76.7,76.6,76.5,76.4,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2
3,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.4,76.4,76.5,76.6,76.6,76.6,76.7,76.7,76.7,76.7,76.7,76.6,76.6,76.6,76.5,76.4,76.4,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1
4,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.4,76.4,76.5,76.5,76.5,76.6,76.6,76.6,76.6,76.6,76.5,76.5,76.5,76.4,76.4,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1
5,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.4,76.4,76.4,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.4,76.4,76.4,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1
6,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1
7,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.4,76.4,76.4,76.4,76.4,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1
8,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1
9,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1
10,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
11,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
12,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
13,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
14,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
15,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
16,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
17,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
18,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
19,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
20,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76
21,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76
22,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76
23,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76
24,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76
25,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76
26,76,76,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76,76,76
27,76,76,76,76,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76,76,76,76,76
28,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76,76,76,76,76,76,76,76
29,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
30,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76

Case 2 MRT Grid ASCI-art (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
2,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
3,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
4,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
5,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
6,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
7,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
8,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
